,predictor,response,z.coeff,X1,X2
1,dendroFD,TOP,1.137381216,1.123725467,1.15097047
2,dendroFD,TED,0.153670872,0.12907157,0.178211841
3,dendroFD,MVNHdet,0.503829864,0.480881658,0.526530322
4,dendroFD,TPD_FRich,1.065659652,1.052464296,1.078797394
5,dendroFD,TPD_FEve,0.686665342,0.663712759,0.709297244
6,dendroFD,TPD_FDiv,0.940056771,0.920825576,0.95912237
7,dendroFD,HV_Rich,1.038538862,1.022848397,1.054139786
8,dendroFD,HV_Reg,0.786488084,0.764673268,0.808040028
9,dendroFD,HV_Dev,1.049659916,1.03355846,1.065662632
10,TOP,TED,0.116429505,0.097467199,0.135336717
11,TOP,MVNHdet,0.547616221,0.532378333,0.562876206
12,TOP,TPD_FRich,0.813059264,0.803553555,0.822590489
13,TOP,TPD_FEve,0.608122343,0.592275708,0.623899718
14,TOP,TPD_FDiv,0.794655703,0.782241373,0.807016969
15,TOP,HV_Rich,0.907985347,0.900583371,0.915399035
16,TOP,HV_Reg,0.649726847,0.634385538,0.664996325
17,TOP,HV_Dev,0.928504911,0.921287847,0.935717982
18,TED,MVNHdet,-0.040641672,-0.059834226,-0.021477709
19,TED,TPD_FRich,0.057296776,0.038192125,0.076370166
20,TED,TPD_FEve,0.475485597,0.457361857,0.493516942
21,TED,TPD_FDiv,0.345775402,0.326398199,0.365024756
22,TED,HV_Rich,0.108988112,0.089210627,0.128691319
23,TED,HV_Reg,0.427227641,0.408521912,0.445819125
24,TED,HV_Dev,0.060766017,0.040568292,0.08084635
25,MVNHdet,TPD_FRich,0.515959086,0.499258548,0.532671549
26,MVNHdet,TPD_FEve,0.258721186,0.238467164,0.2788251
27,MVNHdet,TPD_FDiv,0.406957521,0.387655334,0.426126692
28,MVNHdet,HV_Rich,0.805115289,0.792412721,0.817766585
29,MVNHdet,HV_Reg,0.240122435,0.219660675,0.260411502
30,MVNHdet,HV_Dev,0.706226474,0.690992961,0.721369171
31,TPD_FRich,TPD_FEve,0.318223913,0.298129194,0.338136888
32,TPD_FRich,TPD_FDiv,0.677427882,0.661028033,0.693666217
33,TPD_FRich,HV_Rich,0.878372647,0.867533104,0.889149417
34,TPD_FRich,HV_Reg,0.547833205,0.529641097,0.565858834
35,TPD_FRich,HV_Dev,0.844171128,0.83173296,0.856521182
36,TPD_FEve,TPD_FDiv,0.709749937,0.695733192,0.723717225
37,TPD_FEve,HV_Rich,0.511462497,0.495176836,0.527709545
38,TPD_FEve,HV_Reg,0.627449204,0.612006303,0.642840663
39,TPD_FEve,HV_Dev,0.518724592,0.50216007,0.535237799
40,TPD_FDiv,HV_Rich,0.719662934,0.706958765,0.732383374
41,TPD_FDiv,HV_Reg,0.670727747,0.656169927,0.685247297
42,TPD_FDiv,HV_Dev,0.710661649,0.697321736,0.724005177
43,HV_Rich,HV_Reg,0.59104194,0.574365397,0.607611457
44,HV_Rich,HV_Dev,0.942772208,0.935357249,0.950159262
45,HV_Reg,HV_Dev,0.556549338,0.540617714,0.572451287
